Group,Improvement,Num_Stopwords,Frequency,Freq_%,Benefit_per_Stopword,Benefit_per_Token,Efficiency_Ratio
Questions,0.09000000000000341,0,0,0.0,0.0,0.0,0.0007755277897458287
Determiners,0.04999999999999716,0,0,0.0,0.0,0.0,0.00043070031871821133
Prepositions,0.04000000000000625,0,0,0.0,0.0,0.0,0.0003445305770887705
Particles,0.04000000000000625,0,0,0.0,0.0,0.0,0.0003445305770887705
Politeness,0.01999999999999602,0,0,0.0,0.0,0.0,0.0001722356183258355
Function Nouns,-0.010000000000005116,65,48284,2.8340154637087664,-0.00015384615384623256,-2.0710794466086314e-07,-8.609556607839101e-05
Auxiliary,-0.010000000000005116,0,0,0.0,0.0,0.0,-8.609556607839101e-05
Numbers,-0.12000000000000455,0,0,0.0,0.0,0.0,-0.001032169275761264
Conjunctions,-0.20000000000000284,117,106282,6.238191357673248,-0.0017094017094017337,-1.881786191452954e-06,-0.001719099192023404
Pronouns,-178.73000000000002,23,24781,1.4545136526834341,-7.770869565217392,-0.0072123804527662325,-0.6061315155831384
