Group_Name,Rank_Improvement,Contribution_Ratio,Expected_Contribution
Pronouns,-178.73000000000002,0.9994408097075433,-178.81994967287366
Conjunctions,-0.20000000000000284,0.0011183805849130615,-0.20010065425264498
Numbers,-0.12000000000000455,0.0006710283509478529,-0.12006039255158985
Function Nouns,-0.010000000000005116,5.591902924568089e-05,-0.010005032712637226
Auxiliary,-0.010000000000005116,5.591902924568089e-05,-0.010005032712637226
Politeness,0.01999999999999602,-0.00011183805849128232,0.020010065425260234
Prepositions,0.04000000000000625,-0.0002236761169826441,0.040020130850534685
Particles,0.04000000000000625,-0.0002236761169826441,0.040020130850534685
Determiners,0.04999999999999716,-0.00027959514622824554,0.0500251635631577
Questions,0.09000000000000341,-0.0005032712632108896,0.09004529441369238
