Corpus,Mean_Rank,Median_Rank,Std_Rank,Precision@1,Recall@1,NDCG@1,Success_Rate@1,Precision@5,Recall@5,NDCG@5,Success_Rate@5,Precision@10,Recall@10,NDCG@10,Success_Rate@10,Precision@20,Recall@20,NDCG@20,Success_Rate@20,Removal_Type,Group_Name,Rank_Improvement,Rank_Improvement_%,Recall_Improvement,Recall_Improvement_%,Weight,Contribution_Ratio,Expected_Contribution,Efficiency_Ratio,Frequency,Improvement_per_Token,Improvement_per_Stopword
No_Questions,116.05,1.0,1143.6276087520798,0.93,0.93,0.9322898537461748,0.93,0.1979999999999999,0.99,0.9549906500386912,0.99,0.0989999999999999,0.99,0.9602784884188378,0.99,0.0494999999999999,0.99,0.960278915871635,0.99,Individual,Questions,0.09000000000000341,0.07749268124677408,0.0,0.0,-0.0005032712632108896,-0.0005032712632108896,0.09004529441369238,0.0007755277897458287,0,inf,inf
No_Determiners,116.09,1.0,1143.6237151703356,0.93,0.93,0.9321787426350636,0.93,0.1959999999999999,0.98,0.954663043469927,0.98,0.0989999999999999,0.99,0.9600948316327368,0.99,0.0494999999999999,0.99,0.960095259085534,0.99,Individual,Determiners,0.04999999999999716,0.043051489581537074,0.0,0.0,-0.00027959514622824554,-0.00027959514622824554,0.0500251635631577,0.00043070031871821133,0,inf,inf
No_Prepositions,116.1,1.0,1143.6227743447578,0.93,0.93,0.9316946156509366,0.93,0.1959999999999999,0.98,0.9532356148488822,0.98,0.0989999999999999,0.99,0.958867645525358,0.99,0.0494999999999999,0.99,0.9593257238948872,0.99,Individual,Prepositions,0.04000000000000625,0.034441191665237,0.0,0.0,-0.0002236761169826441,-0.0002236761169826441,0.040020130850534685,0.0003445305770887705,0,inf,inf
No_Particles,116.1,1.0,1143.6228005771836,0.95,0.95,0.9322898537461748,0.95,0.1919999999999999,0.96,0.9549906500386912,0.96,0.0989999999999999,0.99,0.9602784884188378,0.99,0.0494999999999999,0.99,0.960278915871635,0.99,Individual,Particles,0.04000000000000625,0.034441191665237,0.0,0.0,-0.0002236761169826441,-0.0002236761169826441,0.040020130850534685,0.0003445305770887705,0,inf,inf
No_Politeness,116.12,1.0,1143.6207350341283,0.91,0.91,0.9322898537461748,0.91,0.1939999999999999,0.97,0.9549906500386912,0.97,0.0989999999999999,0.99,0.9602784884188378,0.99,0.0494999999999999,0.99,0.960278915871635,0.99,Individual,Politeness,0.01999999999999602,0.01722059583261238,0.0,0.0,-0.00011183805849128232,-0.00011183805849128232,0.020010065425260234,0.0001722356183258355,0,inf,inf
No_Function_Nouns,116.15,1.0,1143.6179727076692,0.94,0.94,0.932020373226694,0.94,0.1919999999999999,0.96,0.9541960977436686,0.96,0.0989999999999999,0.99,0.9596101258731672,0.99,0.0494999999999999,0.99,0.9598641378220109,0.99,Individual,Function Nouns,-0.010000000000005116,-0.00861029791631231,0.0,0.0,5.591902924568089e-05,5.591902924568089e-05,-0.010005032712637226,-8.609556607839101e-05,48284,-2.0710794466086314e-07,-0.00015384615384623256
No_Auxiliary,116.15,1.0,1143.6178852658782,0.91,0.91,0.9270878335441544,0.91,0.1939999999999999,0.97,0.9525496504997042,0.97,0.0989999999999999,0.99,0.9578364295516768,0.99,0.0494999999999999,0.99,0.9580904415005208,0.99,Individual,Auxiliary,-0.010000000000005116,-0.00861029791631231,0.0,0.0,5.591902924568089e-05,5.591902924568089e-05,-0.010005032712637226,-8.609556607839101e-05,0,-inf,inf
No_Numbers,116.26,1.0,1143.6074205775335,0.93,0.93,0.932123187079508,0.93,0.1899999999999999,0.95,0.9544992401855448,0.95,0.0979999999999999,0.98,0.9595212285291564,0.98,0.0494999999999999,0.99,0.9599793068986856,0.99,Individual,Numbers,-0.12000000000000455,-0.10332357499569877,-0.010000000000000009,-1.010101010101011,0.0006710283509478529,0.0006710283509478529,-0.12006039255158985,-0.001032169275761264,0,-inf,inf
No_Conjunctions,116.34,1.0,1143.599888247633,0.91,0.91,0.9226146400709612,0.91,0.1899999999999999,0.95,0.9459482692396948,0.95,0.0979999999999999,0.98,0.951754174357704,0.98,0.0494999999999999,0.99,0.9535111205710912,0.99,Individual,Conjunctions,-0.20000000000000284,-0.1722059583261605,-0.010000000000000009,-1.010101010101011,0.0011183805849130615,0.0011183805849130615,-0.20010065425264498,-0.001719099192023404,106282,-1.881786191452954e-06,-0.0017094017094017337
No_Pronouns,294.87,1.0,2104.4823432616395,0.92,0.92,0.9310122471748892,0.92,0.1939999999999999,0.97,0.951223679293244,0.97,0.0969999999999999,0.97,0.9547947902918232,0.97,0.0489999999999999,0.98,0.9552532961141498,0.98,Individual,Pronouns,-178.73000000000002,-153.89185465817118,-0.020000000000000018,-2.020202020202022,0.9994408097075433,0.9994408097075433,-178.81994967287366,-0.6061315155831384,24781,-0.0072123804527662325,-7.770869565217392
