term,broad_group,corpus_frequency
កន្លែងណាមួយ,Determiners & Quantifiers,0
កម្រិត,Function Nouns,764
កាន់តែ,Function Nouns,1258
កាន់តែច្រើន,Determiners & Quantifiers,0
ការជ្រៀតជ្រែក,Function Nouns,0
ការបញ្ចប់,Function Nouns,90
ការបើកចំហ,Function Nouns,2
ការរៀបចំ,Function Nouns,321
ការសម្រេច,Function Nouns,92
កាល,Function Nouns,866
កើត,Auxiliary Verbs / Aspect Markers,1546
កំពុង,Auxiliary Verbs / Aspect Markers,2563
ក៏,Particles & Discourse Markers,6974
ក្នុង,Prepositions / Relational Words,19048
ក្បែរ,Prepositions / Relational Words,150
ក្បែរនេះ,Prepositions / Relational Words,0
ក្រោម,Prepositions / Relational Words,1513
ក្រោយ,Prepositions / Relational Words,1168
គួរតែ,Auxiliary Verbs / Aspect Markers,335
គួរសម,Particles & Discourse Markers,18
គួរឲ្យកត់សម្គាល់,Auxiliary Verbs / Aspect Markers,0
គេប៉ុណ្ណោះ,Particles & Discourse Markers,0
គ្រប់,Determiners & Quantifiers,1655
គ្រាន់តែ,Particles & Discourse Markers,272
ឃើញតែ,Particles & Discourse Markers,0
ចង់,Auxiliary Verbs / Aspect Markers,655
ចុះ,Particles & Discourse Markers,1139
ចូល,Prepositions / Relational Words,2498
ចូលទៅ,Conjunctions,334
ចូលរួម,Conjunctions,1240
ចេញ,Prepositions / Relational Words,2572
ចំណែក,Function Nouns,452
ចំណែកឯ,Conjunctions,103
ចំនួន,Determiners & Quantifiers,4303
ចំនួនបន្ថែម,Determiners & Quantifiers,0
ចំពោះ,Prepositions / Relational Words,3009
ចំពោះបញ្ហា,Prepositions / Relational Words,0
ច្បាស់ណាស់,Particles & Discourse Markers,0
ច្បាស់លាស់,Conjunctions,272
ច្រើន,Determiners & Quantifiers,2941
ច្រើនជាងគេ,Determiners & Quantifiers,0
ច្រើនណាស់,Determiners & Quantifiers,0
ឆ្លាស់ទៅ,Conjunctions,0
ឆ្លើយ,Conjunctions,136
ឆ្លើយឆ្លង,Conjunctions,10
ឆ្លើយតប,Conjunctions,272
ឆ្លៀតកន្លែង,Function Nouns,0
ឆ្លៀតការបញ្ចប់,Conjunctions,0
ឆ្លៀតចំណេញ,Function Nouns,0
ឆ្លៀតចំណែក,Function Nouns,0
ឆ្លៀតជាមួយនឹង,Prepositions / Relational Words,0
ឆ្លៀតដាក់,Conjunctions,0
ឆ្លៀតតំរង់,Function Nouns,0
ឆ្លៀតត្រូវ,Auxiliary Verbs / Aspect Markers,0
ឆ្លៀតទៅ,Prepositions / Relational Words,0
ឆ្លៀតបង្កើត,Conjunctions,0
ឆ្លៀតបន្ថែម,Conjunctions,0
ឆ្លៀតផ្តល់,Conjunctions,0
ឆ្លៀតពេល,Conjunctions,0
ឆ្លៀតមក,Conjunctions,0
ឆ្លៀតវេលា,Conjunctions,0
ឆ្លៀតសម័យ,Function Nouns,0
ឆ្លៀតសម្លៀកបំពាក់,Function Nouns,0
ឆ្លៀតអាន,Function Nouns,0
ជា,Prepositions / Relational Words,22253
ជាដរាប,Auxiliary Verbs / Aspect Markers,4
ជាថ្មី,Function Nouns,280
ជានិច្ច,Particles & Discourse Markers,182
ជាប់នឹង,Prepositions / Relational Words,0
ជាមួយនឹង,Prepositions / Relational Words,1005
ជិត,Prepositions / Relational Words,734
ឈប់,Function Nouns,571
ឈប់និយាយ,Function Nouns,0
ឈានដល់,Prepositions / Relational Words,185
ឈានទៅ,Function Nouns,8
ញែក,Function Nouns,28
ដកចេញ,Function Nouns,0
ដល់,Prepositions / Relational Words,6729
ដល់កន្លែង,Conjunctions,0
ដឹងច្បាស់,Function Nouns,0
ដឹងត្រូវ,Auxiliary Verbs / Aspect Markers,0
ដឹងពី,Prepositions / Relational Words,0
ដឹងហើយ,Particles & Discourse Markers,0
ដឹងហើយឯង,Particles & Discourse Markers,0
ដូច,Prepositions / Relational Words,1287
ដូចគ្នា,Prepositions / Relational Words,399
ដូចជា,Function Nouns,2554
ដូចដែល,Conjunctions,0
ដូចទៀង,Function Nouns,0
ដូចនេះហើយ,Particles & Discourse Markers,0
ដូចបែបនេះ,Prepositions / Relational Words,0
ដូចរបៀប,Prepositions / Relational Words,0
ដូច្នេះ,Conjunctions,938
ដើម្បី,Conjunctions,6097
ដើម្បីឲ្យ,Conjunctions,131
ដើរទៅ,Prepositions / Relational Words,0
ដែរ,Particles & Discourse Markers,1732
ដែល,Conjunctions,29783
ដែលជា,Conjunctions,0
ដែលនឹង,Conjunctions,0
ដែលអាច,Conjunctions,0
ដោយសារ,Conjunctions,972
ដោះស្រាយ,Function Nouns,378
ដំណាក់កាល,Function Nouns,316
ដំណឹង,Function Nouns,138
ដំណើរ,Function Nouns,414
ដំណើរការ,Function Nouns,504
ដំណោះស្រាយ,Function Nouns,146
ដ៏,Particles & Discourse Markers,4712
ណា,Particles & Discourse Markers,1499
ណាស់,Particles & Discourse Markers,811
ណាស់ណា,Particles & Discourse Markers,0
តម្លៃ,Conjunctions,580
តាម,Prepositions / Relational Words,5827
តាមទំលាប់,Conjunctions,0
តាមរយៈ,Prepositions / Relational Words,1061
តើអាចយ៉ាងណា,Auxiliary Verbs / Aspect Markers,0
តែ,Conjunctions,3112
តែប៉ុណ្ណោះ,Particles & Discourse Markers,0
ត្រលប់វិញ,Conjunctions,0
ត្រលះ,Particles & Discourse Markers,0
ត្រឹម,Prepositions / Relational Words,438
ត្រឹមតែ,Determiners & Quantifiers,408
ត្រឹមនោះ,Determiners & Quantifiers,0
ត្រូវជាមួយ,Determiners & Quantifiers,0
ត្រូវតែ,Auxiliary Verbs / Aspect Markers,396
ត្រូវបាន,Auxiliary Verbs / Aspect Markers,7333
ត្រៀម,Function Nouns,226
ទទួល,Conjunctions,1181
ទទួលខុសត្រូវ,Conjunctions,111
ទទួលយក,Auxiliary Verbs / Aspect Markers,199
ទល់នឹង,Prepositions / Relational Words,15
ទស្សនា,Function Nouns,175
ទាក់ទង,Function Nouns,456
ទាន់,Prepositions / Relational Words,742
ទាន់ពេល,Conjunctions,0
ទាស់,Particles & Discourse Markers,32
ទាំង,Determiners & Quantifiers,4476
ទាំងបី,Determiners & Quantifiers,0
ទាំងអស់,Determiners & Quantifiers,1688
ទុក,Function Nouns,787
ទុកចិត្ត,Auxiliary Verbs / Aspect Markers,76
ទុកសម្រាក,Function Nouns,0
ទូទៅដែរ,Function Nouns,0
ទោះបី,Conjunctions,182
ទោះបីជា,Conjunctions,541
ទោះបីយ៉ាងណា,Conjunctions,0
ទៅកាន់,Prepositions / Relational Words,1505
ទៅជាអ្វី,Function Nouns,0
ទៅដល់ទីនោះ,Prepositions / Relational Words,0
ទៅបើក,Auxiliary Verbs / Aspect Markers,0
ទៅមើល,Prepositions / Relational Words,0
ទៅលើ,Prepositions / Relational Words,0
ទៅលើសទៀត,Conjunctions,0
ទៅវិញ,Particles & Discourse Markers,56
ទៅហើយ,Particles & Discourse Markers,3
ទំនេរ,Function Nouns,25
ទំនេរជាប្រការ,Function Nouns,0
ធ្លាក់ចុះ,Auxiliary Verbs / Aspect Markers,208
ធ្លាប់និយាយ,Conjunctions,0
ធ្វើការងារ,Function Nouns,0
ធ្វើបច្ចុប្បន្នភាព,Function Nouns,0
ធ្វើឱ្យ,Particles & Discourse Markers,904
ធ្វើឲ្យទាន់ពេល,Conjunctions,0
ធ្វើឲ្យល្អ,Particles & Discourse Markers,0
និង,Conjunctions,36396
នឹកស្មាន,Auxiliary Verbs / Aspect Markers,20
នឹកស្រឡាញ់,Function Nouns,0
នឹង,Auxiliary Verbs / Aspect Markers,8682
នឹងកំណត់,Auxiliary Verbs / Aspect Markers,0
នឹងតែ,Auxiliary Verbs / Aspect Markers,0
នឹងបន្ដិច,Auxiliary Verbs / Aspect Markers,0
នូវ,Particles & Discourse Markers,5586
នេះ,Determiners & Quantifiers,17111
នេះជា,Function Nouns,0
នេះតែប៉ុណ្ណោះ,Particles & Discourse Markers,0
នេះត្រូវជា,Prepositions / Relational Words,0
នេះហើយ,Conjunctions,0
នៃ,Prepositions / Relational Words,14390
នោះ,Determiners & Quantifiers,9239
នោះជា,Determiners & Quantifiers,0
នៅជិតតែ,Prepositions / Relational Words,0
នៅតាម,Prepositions / Relational Words,0
នៅតាមកន្លែង,Prepositions / Relational Words,0
