term,broad_group,corpus_frequency
ក្នុង,Prepositions / Relational Words,19048
ក្បែរ,Prepositions / Relational Words,150
ក្បែរនេះ,Prepositions / Relational Words,0
ក្រោម,Prepositions / Relational Words,1513
ក្រោយ,Prepositions / Relational Words,1168
ចូល,Prepositions / Relational Words,2498
ចូលទៅ,Conjunctions,334
ចូលរួម,Conjunctions,1240
ចេញ,Prepositions / Relational Words,2572
ចំណែកឯ,Conjunctions,103
ចំពោះ,Prepositions / Relational Words,3009
ចំពោះបញ្ហា,Prepositions / Relational Words,0
ច្បាស់លាស់,Conjunctions,272
ឆ្លាស់ទៅ,Conjunctions,0
ឆ្លើយ,Conjunctions,136
ឆ្លើយឆ្លង,Conjunctions,10
ឆ្លើយតប,Conjunctions,272
ឆ្លៀតការបញ្ចប់,Conjunctions,0
ឆ្លៀតជាមួយនឹង,Prepositions / Relational Words,0
ឆ្លៀតដាក់,Conjunctions,0
ឆ្លៀតទៅ,Prepositions / Relational Words,0
ឆ្លៀតបង្កើត,Conjunctions,0
ឆ្លៀតបន្ថែម,Conjunctions,0
ឆ្លៀតផ្តល់,Conjunctions,0
ឆ្លៀតពេល,Conjunctions,0
ឆ្លៀតមក,Conjunctions,0
ឆ្លៀតវេលា,Conjunctions,0
ជា,Prepositions / Relational Words,22253
ជាប់នឹង,Prepositions / Relational Words,0
ជាមួយនឹង,Prepositions / Relational Words,1005
ជិត,Prepositions / Relational Words,734
ឈានដល់,Prepositions / Relational Words,185
ដល់,Prepositions / Relational Words,6729
ដល់កន្លែង,Conjunctions,0
ដឹងពី,Prepositions / Relational Words,0
ដូច,Prepositions / Relational Words,1287
ដូចគ្នា,Prepositions / Relational Words,399
ដូចដែល,Conjunctions,0
ដូចបែបនេះ,Prepositions / Relational Words,0
ដូចរបៀប,Prepositions / Relational Words,0
ដូច្នេះ,Conjunctions,938
ដើម្បី,Conjunctions,6097
ដើម្បីឲ្យ,Conjunctions,131
ដើរទៅ,Prepositions / Relational Words,0
ដែល,Conjunctions,29783
ដែលជា,Conjunctions,0
ដែលនឹង,Conjunctions,0
ដែលអាច,Conjunctions,0
ដោយសារ,Conjunctions,972
តម្លៃ,Conjunctions,580
តាម,Prepositions / Relational Words,5827
តាមទំលាប់,Conjunctions,0
តាមរយៈ,Prepositions / Relational Words,1061
តែ,Conjunctions,3112
ត្រលប់វិញ,Conjunctions,0
ត្រឹម,Prepositions / Relational Words,438
ទទួល,Conjunctions,1181
ទទួលខុសត្រូវ,Conjunctions,111
ទល់នឹង,Prepositions / Relational Words,15
ទាន់,Prepositions / Relational Words,742
ទាន់ពេល,Conjunctions,0
ទោះបី,Conjunctions,182
ទោះបីជា,Conjunctions,541
ទោះបីយ៉ាងណា,Conjunctions,0
ទៅកាន់,Prepositions / Relational Words,1505
ទៅដល់ទីនោះ,Prepositions / Relational Words,0
ទៅមើល,Prepositions / Relational Words,0
ទៅលើ,Prepositions / Relational Words,0
ទៅលើសទៀត,Conjunctions,0
ធ្លាប់និយាយ,Conjunctions,0
ធ្វើឲ្យទាន់ពេល,Conjunctions,0
និង,Conjunctions,36396
នេះត្រូវជា,Prepositions / Relational Words,0
នេះហើយ,Conjunctions,0
នៃ,Prepositions / Relational Words,14390
នៅជិតតែ,Prepositions / Relational Words,0
នៅតាម,Prepositions / Relational Words,0
នៅតាមកន្លែង,Prepositions / Relational Words,0
នៅតែ,Prepositions / Relational Words,883
នៅមកវិញ,Prepositions / Relational Words,0
នៅមុខគេ,Prepositions / Relational Words,0
បញ្ចូល,Conjunctions,224
បន្ទាប់,Prepositions / Relational Words,196
បន្ទាប់ពី,Prepositions / Relational Words,1815
បើតម្រូវ,Conjunctions,0
បើតែប៉ុណ្ណោះ,Conjunctions,0
បើមាន,Conjunctions,0
បើមិន,Conjunctions,0
ប៉ុន្តែ,Conjunctions,1794
ប៉ុន្មានពេលនោះ,Conjunctions,0
ប្រកប,Prepositions / Relational Words,138
ប្រគល់ទៅ,Conjunctions,0
ប្រហែល,Conjunctions,714
ប្រែជាអ្វី,Prepositions / Relational Words,0
ប្រែទៅជាអ្វី,Prepositions / Relational Words,0
ផ្ដល់តម្លៃដល់,Conjunctions,0
ផ្ដើមពី,Prepositions / Relational Words,0
ផ្ដើមសម្រាប់,Prepositions / Relational Words,0
ផ្តល់កម្រិតខ្ពស់,Conjunctions,0
ផ្តល់ការគិតគូរ,Conjunctions,0
ផ្តល់ការងារអ្នក,Conjunctions,0
ផ្តល់ការជូនដំណឹង,Conjunctions,0
ផ្តល់ការផ្តោតអារម្មណ៍,Conjunctions,0
ផ្តល់ការអនុវត្ត,Conjunctions,0
ផ្តល់គុណតម្លៃ,Conjunctions,0
ផ្តល់ចំណែក,Conjunctions,0
ផ្តល់ចំអិន,Conjunctions,0
ផ្តល់ជាអ្វី,Conjunctions,0
ផ្តល់ជំនួយ,Conjunctions,0
ផ្តល់ទំនុកចិត្តក្នុង,Conjunctions,0
ផ្តល់ទំព័រ,Conjunctions,0
ផ្តល់បច្ចេកវិទ្យា,Conjunctions,0
ផ្តល់ផ្នែក,Conjunctions,0
ផ្តល់ពេលវេលាឲ្យគ្នា,Conjunctions,0
ផ្តល់ភាពងាយស្រួល,Conjunctions,0
ផ្តល់ភាពជឿជាក់,Conjunctions,0
ផ្តល់ភាពជោគជ័យ,Conjunctions,0
ផ្តល់ភាពសំរាប់,Conjunctions,0
ផ្តល់មេរៀន,Conjunctions,0
ផ្តល់សិទ្ធិចូលរួម,Conjunctions,0
ផ្តល់សុខភាពនិងសន្តិភាព,Conjunctions,0
ផ្តល់សេចក្ដីណែនាំ,Conjunctions,0
ផ្តល់អារម្មណ៍ដល់គ្នា,Conjunctions,0
ផ្តល់អាហារូបករណ៍,Conjunctions,0
ផ្ទុយនឹង,Conjunctions,0
ផ្ទុយពី,Prepositions / Relational Words,0
ផ្លាស់ប្ដូរត្រឹមត្រូវ,Conjunctions,0
ផ្លាស់ប្ដូរនិស្ស័យ,Conjunctions,0
ពី,Conjunctions,9927
ពីព្រោះ,Conjunctions,159
ពេលដែលអាច,Conjunctions,0
ពេលណាមិញទេ,Conjunctions,0
ពេលនេះហើយ,Conjunctions,0
ពេលវេលាដែល,Conjunctions,0
ពោលគឺ,Conjunctions,183
ពោលទៅ,Conjunctions,0
ព្យាយាមយ៉ាងខ្លាំង,Conjunctions,0
ព្រមទាំង,Conjunctions,835
ព្រោះថា,Conjunctions,134
ព្រោះថាអ្នក,Conjunctions,0
ព្រោះហេតុនេះ,Conjunctions,0
ព្រោះអញ្ចឹង,Conjunctions,0
ភ្លឺ,Conjunctions,140
ភ្លេចចង់,Conjunctions,0
ភ្លេចត្រូវ,Conjunctions,0
ភ្លេចទៅ,Prepositions / Relational Words,0
ភ្លេចទៅវិញ,Conjunctions,0
ភ្លេចយក,Conjunctions,0
ភ្លេចសុំព្យាបាល,Conjunctions,0
មិនទទួល,Conjunctions,0
មិនបាច់ខ្លាំង,Conjunctions,0
មិនបានស្រួល,Conjunctions,0
មួយភ្លែត,Conjunctions,0
ម្យ៉ាងទៀត,Conjunctions,102
យ៉ាងណាក៏ដោយ,Conjunctions,0
របស់,Prepositions / Relational Words,20921
រហូតដល់,Conjunctions,927
រហូតទៅដល់,Prepositions / Relational Words,0
រីឯ,Conjunctions,158
រឺក៏,Conjunctions,19
លើ,Conjunctions,5882
លើកលែង,Conjunctions,71
ល្អ,Conjunctions,1916
សំរាប់,Prepositions / Relational Words,385
ស្គាល់,Conjunctions,573
ហាក់នៅ,Prepositions / Relational Words,0
ហើយត្រូវ,Conjunctions,0
ហ្នឹង,Conjunctions,96
ឡើង,Prepositions / Relational Words,2025
អញ្ចឹង,Conjunctions,37
អំពី,Prepositions / Relational Words,2236
អ្វីដែល,Conjunctions,0
