term,broad_group,corpus_frequency
ក្នុង,Prepositions / Relational Words,19048
ក្បែរ,Prepositions / Relational Words,150
ក្បែរនេះ,Prepositions / Relational Words,0
ក្រោម,Prepositions / Relational Words,1513
ក្រោយ,Prepositions / Relational Words,1168
ចូល,Prepositions / Relational Words,2498
ចេញ,Prepositions / Relational Words,2572
ចំពោះ,Prepositions / Relational Words,3009
ចំពោះបញ្ហា,Prepositions / Relational Words,0
ឆ្លៀតជាមួយនឹង,Prepositions / Relational Words,0
ឆ្លៀតទៅ,Prepositions / Relational Words,0
ជា,Prepositions / Relational Words,22253
ជាប់នឹង,Prepositions / Relational Words,0
ជាមួយនឹង,Prepositions / Relational Words,1005
ជិត,Prepositions / Relational Words,734
ឈានដល់,Prepositions / Relational Words,185
ដល់,Prepositions / Relational Words,6729
ដឹងពី,Prepositions / Relational Words,0
ដូច,Prepositions / Relational Words,1287
ដូចគ្នា,Prepositions / Relational Words,399
ដូចបែបនេះ,Prepositions / Relational Words,0
ដូចរបៀប,Prepositions / Relational Words,0
ដើរទៅ,Prepositions / Relational Words,0
តាម,Prepositions / Relational Words,5827
តាមរយៈ,Prepositions / Relational Words,1061
ត្រឹម,Prepositions / Relational Words,438
ទល់នឹង,Prepositions / Relational Words,15
ទាន់,Prepositions / Relational Words,742
ទៅកាន់,Prepositions / Relational Words,1505
ទៅដល់ទីនោះ,Prepositions / Relational Words,0
ទៅមើល,Prepositions / Relational Words,0
ទៅលើ,Prepositions / Relational Words,0
នេះត្រូវជា,Prepositions / Relational Words,0
នៃ,Prepositions / Relational Words,14390
នៅជិតតែ,Prepositions / Relational Words,0
នៅតាម,Prepositions / Relational Words,0
នៅតាមកន្លែង,Prepositions / Relational Words,0
នៅតែ,Prepositions / Relational Words,883
នៅមកវិញ,Prepositions / Relational Words,0
នៅមុខគេ,Prepositions / Relational Words,0
បន្ទាប់,Prepositions / Relational Words,196
បន្ទាប់ពី,Prepositions / Relational Words,1815
ប្រកប,Prepositions / Relational Words,138
ប្រែជាអ្វី,Prepositions / Relational Words,0
ប្រែទៅជាអ្វី,Prepositions / Relational Words,0
ផ្ដើមពី,Prepositions / Relational Words,0
ផ្ដើមសម្រាប់,Prepositions / Relational Words,0
ផ្ទុយពី,Prepositions / Relational Words,0
ភ្លេចទៅ,Prepositions / Relational Words,0
របស់,Prepositions / Relational Words,20921
រហូតទៅដល់,Prepositions / Relational Words,0
សំរាប់,Prepositions / Relational Words,385
ហាក់នៅ,Prepositions / Relational Words,0
ឡើង,Prepositions / Relational Words,2025
អំពី,Prepositions / Relational Words,2236
