Corpus,Mean_Rank,Median_Rank,Std_Rank,Precision@1,Recall@1,NDCG@1,Success_Rate@1,Precision@5,Recall@5,NDCG@5,Success_Rate@5,Precision@10,Recall@10,NDCG@10,Success_Rate@10,Precision@20,Recall@20,NDCG@20,Success_Rate@20
No_Questions,116.05,1.0,1143.6276087520798,0.93,0.93,0.9322898537461747,0.93,0.19799999999999998,0.99,0.9549906500386913,0.99,0.09899999999999999,0.99,0.9602784884188378,0.99,0.049499999999999995,0.99,0.960278915871635,0.99
No_Determiners,116.09,1.0,1143.6237151703356,0.93,0.93,0.9321787426350636,0.93,0.19599999999999995,0.98,0.954663043469927,0.98,0.09899999999999999,0.99,0.9600948316327367,0.99,0.049499999999999995,0.99,0.960095259085534,0.99
No_Prepositions,116.1,1.0,1143.6227743447578,0.93,0.93,0.9316946156509366,0.93,0.19599999999999995,0.98,0.9532356148488822,0.98,0.09899999999999999,0.99,0.958867645525358,0.99,0.049499999999999995,0.99,0.9593257238948872,0.99
No_Particles,116.1,1.0,1143.6228005771836,0.95,0.95,0.9322898537461747,0.95,0.19199999999999995,0.96,0.9549906500386913,0.96,0.09899999999999999,0.99,0.9602784884188378,0.99,0.049499999999999995,0.99,0.960278915871635,0.99
No_Politeness,116.12,1.0,1143.6207350341283,0.91,0.91,0.9322898537461747,0.91,0.19399999999999995,0.97,0.9549906500386913,0.97,0.09899999999999999,0.99,0.9602784884188378,0.99,0.049499999999999995,0.99,0.960278915871635,0.99
Original,116.14,1.0,1143.6189576952636,0.93,0.93,0.9322898537461747,0.93,0.19399999999999995,0.97,0.9549906500386913,0.97,0.09899999999999999,0.99,0.9602784884188378,0.99,0.049499999999999995,0.99,0.960278915871635,0.99
No_Function_Nouns,116.15,1.0,1143.6179727076692,0.94,0.94,0.9320203732266941,0.94,0.19199999999999995,0.96,0.9541960977436686,0.96,0.09899999999999999,0.99,0.9596101258731671,0.99,0.049499999999999995,0.99,0.9598641378220109,0.99
No_Auxiliary,116.15,1.0,1143.6178852658782,0.91,0.91,0.9270878335441545,0.91,0.19399999999999995,0.97,0.9525496504997042,0.97,0.09899999999999999,0.99,0.9578364295516769,0.99,0.049499999999999995,0.99,0.9580904415005207,0.99
No_Numbers,116.26,1.0,1143.6074205775335,0.93,0.93,0.932123187079508,0.93,0.18999999999999997,0.95,0.9544992401855447,0.95,0.09799999999999998,0.98,0.9595212285291563,0.98,0.049499999999999995,0.99,0.9599793068986857,0.99
No_Conjunctions,116.34,1.0,1143.5998882476333,0.91,0.91,0.9226146400709611,0.91,0.18999999999999997,0.95,0.9459482692396948,0.95,0.09799999999999999,0.98,0.951754174357704,0.98,0.049499999999999995,0.99,0.9535111205710912,0.99
No_Pronouns,294.87,1.0,2104.4823432616395,0.92,0.92,0.9310122471748891,0.92,0.19399999999999995,0.97,0.951223679293244,0.97,0.09699999999999998,0.97,0.9547947902918231,0.97,0.04899999999999999,0.98,0.9552532961141498,0.98
No_All,295.06,1.0,2104.45675089796,0.94,0.94,0.9105043106669526,0.94,0.18999999999999997,0.95,0.9360353468003215,0.95,0.09599999999999997,0.96,0.9405063402633961,0.96,0.04899999999999999,0.98,0.942736399672415,0.98
