Query_Index,Query_ID,Avg_Rank,Std_Rank,Min_Rank,Max_Rank,Range_Rank
46925,Q027,11495.0,0.0,11495,11495,0
40535,Q071,2982.25,6659.346128124492,2,17873,17871
10463,Q041,7.916666666666667,3.5697416651006493,2,15,13
56970,Q037,5.75,1.6393596310755,3,8,5
52810,Q040,4.25,2.1262251370288454,2,8,6
23283,Q097,3.6666666666666665,5.976807025680369,1,18,17
39453,Q023,1.8333333333333333,0.9860132971832695,1,4,3
23909,Q094,1.5833333333333333,0.4930066485916347,1,2,1
23526,Q054,1.5833333333333333,0.4930066485916347,1,2,1
27651,Q016,1.3333333333333333,0.4714045207910317,1,2,1
55541,Q055,1.0833333333333333,0.2763853991962833,1,2,1
16049,Q006,1.0,0.0,1,1,0
48598,Q004,1.0,0.0,1,1,0
1639,Q003,1.0,0.0,1,1,0
7296,Q002,1.0,0.0,1,1,0
18024,Q005,1.0,0.0,1,1,0
48265,Q009,1.0,0.0,1,1,0
6717,Q010,1.0,0.0,1,1,0
14628,Q007,1.0,0.0,1,1,0
9144,Q008,1.0,0.0,1,1,0
14328,Q020,1.0,0.0,1,1,0
6140,Q019,1.0,0.0,1,1,0
33118,Q022,1.0,0.0,1,1,0
15247,Q021,1.0,0.0,1,1,0
1739,Q024,1.0,0.0,1,1,0
36781,Q025,1.0,0.0,1,1,0
13031,Q026,1.0,0.0,1,1,0
42590,Q028,1.0,0.0,1,1,0
48540,Q012,1.0,0.0,1,1,0
35741,Q013,1.0,0.0,1,1,0
5697,Q014,1.0,0.0,1,1,0
38698,Q015,1.0,0.0,1,1,0
2082,Q017,1.0,0.0,1,1,0
1952,Q018,1.0,0.0,1,1,0
44348,Q011,1.0,0.0,1,1,0
41905,Q001,1.0,0.0,1,1,0
53046,Q036,1.0,0.0,1,1,0
18231,Q035,1.0,0.0,1,1,0
38618,Q034,1.0,0.0,1,1,0
29439,Q033,1.0,0.0,1,1,0
14446,Q032,1.0,0.0,1,1,0
27493,Q031,1.0,0.0,1,1,0
35713,Q030,1.0,0.0,1,1,0
45962,Q029,1.0,0.0,1,1,0
18210,Q045,1.0,0.0,1,1,0
10189,Q046,1.0,0.0,1,1,0
14110,Q047,1.0,0.0,1,1,0
50036,Q048,1.0,0.0,1,1,0
22059,Q049,1.0,0.0,1,1,0
45753,Q042,1.0,0.0,1,1,0
49729,Q039,1.0,0.0,1,1,0
425,Q038,1.0,0.0,1,1,0
24898,Q052,1.0,0.0,1,1,0
6078,Q051,1.0,0.0,1,1,0
6338,Q053,1.0,0.0,1,1,0
22541,Q056,1.0,0.0,1,1,0
39565,Q057,1.0,0.0,1,1,0
17335,Q058,1.0,0.0,1,1,0
52895,Q059,1.0,0.0,1,1,0
2847,Q060,1.0,0.0,1,1,0
47823,Q061,1.0,0.0,1,1,0
30108,Q062,1.0,0.0,1,1,0
35142,Q063,1.0,0.0,1,1,0
8180,Q064,1.0,0.0,1,1,0
24807,Q065,1.0,0.0,1,1,0
6698,Q050,1.0,0.0,1,1,0
27696,Q043,1.0,0.0,1,1,0
22298,Q044,1.0,0.0,1,1,0
19213,Q068,1.0,0.0,1,1,0
36178,Q067,1.0,0.0,1,1,0
5164,Q066,1.0,0.0,1,1,0
54355,Q069,1.0,0.0,1,1,0
56472,Q073,1.0,0.0,1,1,0
23700,Q074,1.0,0.0,1,1,0
41198,Q070,1.0,0.0,1,1,0
58028,Q072,1.0,0.0,1,1,0
46174,Q077,1.0,0.0,1,1,0
4558,Q078,1.0,0.0,1,1,0
3003,Q079,1.0,0.0,1,1,0
43336,Q080,1.0,0.0,1,1,0
14935,Q081,1.0,0.0,1,1,0
50663,Q082,1.0,0.0,1,1,0
37837,Q075,1.0,0.0,1,1,0
12601,Q076,1.0,0.0,1,1,0
5229,Q084,1.0,0.0,1,1,0
18965,Q083,1.0,0.0,1,1,0
56054,Q085,1.0,0.0,1,1,0
15256,Q086,1.0,0.0,1,1,0
24911,Q089,1.0,0.0,1,1,0
18217,Q090,1.0,0.0,1,1,0
56785,Q087,1.0,0.0,1,1,0
6619,Q088,1.0,0.0,1,1,0
41660,Q092,1.0,0.0,1,1,0
29714,Q091,1.0,0.0,1,1,0
10659,Q095,1.0,0.0,1,1,0
54664,Q093,1.0,0.0,1,1,0
24260,Q096,1.0,0.0,1,1,0
13730,Q098,1.0,0.0,1,1,0
43920,Q099,1.0,0.0,1,1,0
17496,Q100,1.0,0.0,1,1,0
