Corpus,Mean_Rank,Baseline_Rank,Rank_Improvement,Percent_Improvement,P_Value,Significant,Effect_Size
No_Questions,116.05,116.14,0.09000000000000341,0.07749268124677408,0.22669917468443107,False,7.869754116474294e-05
No_Determiners,116.09,116.14,0.04999999999999716,0.043051489581537074,0.3557520474635302,False,4.3720856202630816e-05
No_Prepositions,116.1,116.14,0.04000000000000625,0.034441191665237,0.5816663593668723,False,3.4976684962112114e-05
No_Particles,116.1,116.14,0.04000000000000625,0.034441191665237,0.6684428203294606,False,3.4976684962112114e-05
No_Politeness,116.12,116.14,0.01999999999999602,0.01722059583261238,0.6396994233271647,False,1.7488342481049843e-05
No_Auxiliary,116.15,116.14,-0.010000000000005116,-0.00861029791631231,0.6569905055563484,False,-8.744171240531134e-06
No_Function_Nouns,116.15,116.14,-0.010000000000005116,-0.00861029791631231,0.848509771420156,False,-8.744171240531134e-06
No_Numbers,116.26,116.14,-0.12000000000000455,-0.10332357499569877,0.07022920434301536,False,-0.0001049300548863239
No_Conjunctions,116.34,116.14,-0.20000000000000284,-0.1722059583261605,0.22703931887135076,False,-0.0001748834248105357
No_Pronouns,294.87,116.14,-178.73000000000002,-153.89185465817118,0.3196940518717751,False,-0.15628457258193304
No_All,295.06,116.14,-178.92000000000002,-154.05545031858102,0.3191775245754183,False,-0.15645071183550302
