Corpus,Documents,Vocab_Size,Density,Mean_Rank,Median_Rank,Std_Rank,Mean_Similarity,Recall@1,Success_Rate@1,Recall@5,Success_Rate@5,Recall@10,Success_Rate@10,Recall@20,Success_Rate@20
Original,58382,10000,0.0024029426878147374,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Prepositions,58376,10000,0.0022423290393312322,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Auxiliary_Verbs,58316,10000,0.0023184957816036766,1.02,1.0,0.13999999999999999,1.0,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0
No_Conjunctions,58362,10000,0.0022617422295329154,1.02,1.0,0.13999999999999999,1.0,0.98,0.98,1.0,1.0,1.0,1.0,1.0,1.0
No_Determiners,58381,10000,0.0023377485825868006,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Function_Nouns,58377,10000,0.002336576048786337,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Numbers,58381,10000,0.002374176530035457,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Particles,58381,10000,0.002339401517617033,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Politeness,58370,10000,0.002387685454856947,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Pronouns,58380,10000,0.0023686742034943475,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_Questions,58380,10000,0.00238083932853717,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
No_All_Stopwords,58242,10000,0.0017205693485800625,1.2,1.0,1.4000000000000004,1.0,0.98,0.98,0.98,0.98,0.98,0.98,1.0,1.0
