Corpus,Category,Mean_Rank,Recall@10,Improvement,Percent_Improvement,Frequency_Sum,Frequency_Mean,Frequency_Median
No_Questions,Question & Negation Words,116.05,0.99,0.09000000000000341,0.07749268124677408,15546.0,242.9,0.0
No_Determiners,Determiners & Quantifiers,116.09,0.99,0.04999999999999716,0.043051489581537074,44803.0,1493.4,35.5
No_Prepositions,Prepositions / Relational Words,116.1,0.99,0.04000000000000625,0.034441191665237,115127.0,2093.2,138.0
No_Particles,Particles & Discourse Markers,116.1,0.99,0.04000000000000625,0.034441191665237,43021.0,796.7,10.5
No_Politeness,Politeness & Honorifics,116.12,0.99,0.01999999999999602,0.01722059583261238,12707.0,1411.9,0.0
Original,None,116.14,0.99,0.0,0.0,,,
No_Function_Nouns,Function Nouns,116.15,0.99,-0.010000000000005116,-0.00861029791631231,48284.0,742.8,90.0
No_Auxiliary,Auxiliary Verbs / Aspect Markers,116.15,0.99,-0.010000000000005116,-0.00861029791631231,67081.0,1001.2,0.0
No_Numbers,Numbers & Time Expressions,116.26,0.98,-0.12000000000000455,-0.10332357499569877,18709.0,719.6,0.0
No_Conjunctions,Conjunctions,116.34,0.98,-0.20000000000000284,-0.1722059583261605,106282.0,908.4,0.0
No_Pronouns,Pronouns,294.87,0.97,-178.73000000000002,-153.89185465817118,24781.0,1077.4,8.0
No_All,All,295.06,0.96,-178.92000000000002,-154.05545031858102,,,
