Group,Type,Words_Remaining,Words_Removed,Removal_Percentage
Determiners & Quantifiers,Single Group,1658928,44803,2.6296991719937006
Function Nouns,Single Group,1655447,48284,2.8340154637087664
Numbers & Time Expressions,Single Group,1685022,18709,1.0981193627397752
Auxiliary Verbs / Aspect Markers,Single Group,1636650,67081,3.9372999610854063
Particles & Discourse Markers,Single Group,1660710,43021,2.525105195597192
Prepositions / Relational Words,Single Group,1588604,115127,6.757346083389924
Pronouns,Single Group,1678950,24781,1.4545136526834341
Question & Negation Words,Single Group,1688185,15546,0.9124679893715616
Conjunctions,Single Group,1597449,106282,6.238191357673248
Politeness & Honorifics,Single Group,1691024,12707,0.745833702620895
ALL GROUPS,All Groups,1207390,496341,29.132591940863904
