Corpus,Documents,Total_Terms,Unique_Terms,Avg_Doc_Length,Vocabulary_Size
Original,58409,1703731,45524,29.16898080775223,2481
No_All,58409,1207390,45325,20.671300655720867,2478
No_Auxiliary,58409,1636650,45506,28.02051053775959,2481
No_Conjunctions,58409,1597449,45486,27.34936396788166,2480
No_Determiners,58409,1658928,45509,28.40192436097177,2481
No_Function_Nouns,58409,1655447,45486,28.34232738105429,2481
No_Numbers,58409,1685022,45513,28.848670581588454,2481
No_Particles,58409,1660710,45496,28.43243335787293,2481
No_Politeness,58409,1691024,45520,28.95142871817699,2481
No_Prepositions,58409,1588604,45495,27.197931825574827,2480
No_Pronouns,58409,1678950,45512,28.744713999554865,2480
No_Questions,58409,1688185,45518,28.902823195055557,2481
