Corpus,Documents,Total_Terms,Unique_Terms,Vocabulary_Size,Avg_Doc_Length,Avg_TFIDF_Score,Std_TFIDF_Score,Max_TFIDF_Score,Min_TFIDF_Score,Terms_per_Doc_Ratio
Original,58409,1703731,45524,2481,29.16898080775223,0.0011902883725036268,0.003462453450268694,0.049080159505786335,4.746587574874842e-06,0.7794004348644901
No_All,58409,1207390,45325,2478,20.671300655720867,0.001126804468372291,0.0032365650215285574,0.0451822022829025,4.923129846129866e-06,0.7759934256707014
No_Auxiliary,58409,1636650,45506,2481,28.02051053775959,0.001181923035304726,0.003433919376871267,0.049271830632481375,4.741850863158252e-06,0.7790922631786197
No_Conjunctions,58409,1597449,45486,2480,27.34936396788166,0.0011830437443046025,0.0034566603601671048,0.049327990272463484,4.711363724139013e-06,0.7787498501943194
No_Determiners,58409,1658928,45509,2481,28.40192436097177,0.0011854507498314348,0.0034569287562449705,0.04922706198894442,4.746449125319668e-06,0.7791436251262648
No_Function_Nouns,58409,1655447,45486,2481,28.34232738105429,0.0011816343340890925,0.003426648805815471,0.04496242369743266,4.745921970130908e-06,0.7787498501943194
No_Numbers,58409,1685022,45513,2481,28.848670581588454,0.0011858723307109206,0.003462141156334554,0.04917137112786148,4.7679275732955794e-06,0.7792121077231249
No_Particles,58409,1660710,45496,2481,28.43243335787293,0.0011886592764368538,0.0034651061910813898,0.04914781589487888,4.7449801838376284e-06,0.7789210566864696
No_Politeness,58409,1691024,45520,2481,28.95142871817699,0.0011902564303330925,0.0034627476648487593,0.049083356835260335,4.746587574874842e-06,0.77933195226763
No_Prepositions,58409,1588604,45495,2480,27.197931825574827,0.0011698052674490372,0.0033390661693591356,0.04956413000072911,4.808140513289564e-06,0.7789039360372545
No_Pronouns,58409,1678950,45512,2480,28.744713999554865,0.0011851091296869718,0.0034489287456685776,0.04931904587353313,4.866997326962105e-06,0.7791949870739099
No_Questions,58409,1688185,45518,2481,28.902823195055557,0.00118926460719094,0.003463990508893804,0.049114205901858825,4.7694838718484546e-06,0.7792977109692
