TOP 100 TERMS BY TF-IDF - No_All
============================================================

Documents: 58409
Total terms: 1207390
Unique terms: 45325
Vocabulary size: 2478

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.045182
   2 | បន              | 0.034829
   3 | រទ              | 0.033095
   4 | រដ              | 0.032278
   5 | កម              | 0.031765
   6 | រក              | 0.030267
   7 | រស              | 0.027815
   8 | បង              | 0.027324
   9 | រប              | 0.026804
  10 | រព              | 0.026726
  11 | រង              | 0.026523
  12 | យក              | 0.026270
  13 | សន              | 0.025700
  14 | បត              | 0.025384
  15 | រជ              | 0.025154
  16 | អង              | 0.024935
  17 | មន              | 0.023207
  18 | បញ              | 0.022750
  19 | សង              | 0.021645
  20 | មក              | 0.020005
  21 | រម              | 0.019871
  22 | ចក              | 0.019619
  23 | ជន              | 0.018356
  24 | កន              | 0.017750
  25 | រធ              | 0.017587
  26 | មហ              | 0.017171
  27 | អន              | 0.016868
  28 | វត              | 0.016438
  29 | រវ              | 0.015253
  30 | រយ              | 0.014757
  31 | រត              | 0.014353
  32 | ងក              | 0.014224
  33 | រណ              | 0.014059
  34 | បណ              | 0.013945
  35 | ពង              | 0.013188
  36 | រហ              | 0.013065
  37 | សត              | 0.012997
  38 | តម              | 0.012701
  39 | ធម              | 0.012167
  40 | បច              | 0.011832
  41 | ងត              | 0.011803
  42 | ពស              | 0.011788
  43 | រច              | 0.011718
  44 | ចប              | 0.011556
  45 | គម              | 0.011424
  46 | ឋមន             | 0.011254
  47 | ខណ              | 0.011226
  48 | បរ              | 0.011058
  49 | កស              | 0.010795
  50 | ចម              | 0.010670
  51 | កគ              | 0.010507
  52 | យប              | 0.010063
  53 | សរ              | 0.009840
  54 | ងន              | 0.009832
  55 | អត              | 0.009654
  56 | កដ              | 0.009012
  57 | លក              | 0.008995
  58 | រល              | 0.008859
  59 | ករ              | 0.008763
  60 | លង              | 0.008739
  61 | ទទ              | 0.008681
  62 | គល              | 0.008649
  63 | ផងដ             | 0.008509
  64 | វក              | 0.008389
  65 | ទន              | 0.008335
  66 | ផល              | 0.008261
  67 | ងឡ              | 0.008217
  68 | លប              | 0.007943
  69 | អគ              | 0.007933
  70 | តឡ              | 0.007766
  71 | រគ              | 0.007737
  72 | តល              | 0.007703
  73 | មណ              | 0.007611
  74 | កណ              | 0.007590
  75 | សហរដ            | 0.007492
  76 | រឆ              | 0.007448
  77 | នប              | 0.007327
  78 | យល              | 0.007305
  79 | អស              | 0.007278
  80 | នង              | 0.007272
  81 | ចន              | 0.007210
  82 | ណត              | 0.007060
  83 | ជនជ             | 0.007049
  84 | ជម              | 0.007016
  85 | ពន              | 0.007012
  86 | រភ              | 0.006975
  87 | នក              | 0.006952
  88 | ងល              | 0.006750
  89 | តណ              | 0.006716
  90 | យម              | 0.006715
  91 | សប              | 0.006595
  92 | គក              | 0.006588
  93 | ពលរដ            | 0.006542
  94 | ឯកឧត            | 0.006460
  95 | គណ              | 0.006415
  96 | លដ              | 0.006403
  97 | មត              | 0.006317
  98 | នកស             | 0.006242
  99 | បក              | 0.006153
 100 | ឥណ              | 0.006144
