TOP 100 TERMS BY TF-IDF - No_Auxiliary
============================================================

Documents: 58409
Total terms: 1636650
Unique terms: 45506
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049272
   2 | របស             | 0.044978
   3 | បន              | 0.037723
   4 | កម              | 0.032231
   5 | រទ              | 0.032068
   6 | រដ              | 0.031377
   7 | រក              | 0.030234
   8 | រប              | 0.028650
   9 | រស              | 0.026824
  10 | បង              | 0.026390
  11 | រព              | 0.025864
  12 | រង              | 0.025722
  13 | យក              | 0.025466
  14 | សន              | 0.025269
  15 | បត              | 0.025075
  16 | រជ              | 0.024389
  17 | អង              | 0.024254
  18 | នក              | 0.023361
  19 | បញ              | 0.022599
  20 | មន              | 0.022369
  21 | ដល              | 0.022341
  22 | សង              | 0.021004
  23 | មក              | 0.019290
  24 | រម              | 0.019226
  25 | ចក              | 0.019048
  26 | រហ              | 0.017916
  27 | ជន              | 0.017782
  28 | កន              | 0.017225
  29 | រធ              | 0.017030
  30 | មហ              | 0.016696
  31 | អន              | 0.016453
  32 | វត              | 0.015973
  33 | រវ              | 0.014868
  34 | រត              | 0.014855
  35 | រយ              | 0.014224
  36 | តម              | 0.013923
  37 | ងក              | 0.013735
  38 | រណ              | 0.013627
  39 | បណ              | 0.013593
  40 | ពង              | 0.012933
  41 | សត              | 0.012823
  42 | ទទ              | 0.012260
  43 | បច              | 0.012259
  44 | លព              | 0.011947
  45 | ធម              | 0.011830
  46 | ចប              | 0.011505
  47 | ងត              | 0.011498
  48 | ពស              | 0.011389
  49 | រច              | 0.011340
  50 | គម              | 0.011132
  51 | ឋមន             | 0.010991
  52 | ខណ              | 0.010918
  53 | បរ              | 0.010708
  54 | កស              | 0.010466
  55 | ចជ              | 0.010384
  56 | ចម              | 0.010325
  57 | អត              | 0.010114
  58 | កគ              | 0.010051
  59 | យប              | 0.009755
  60 | សរ              | 0.009536
  61 | ងន              | 0.009516
  62 | កដ              | 0.009451
  63 | យន              | 0.008833
  64 | លក              | 0.008704
  65 | យស              | 0.008630
  66 | រល              | 0.008584
  67 | ករ              | 0.008503
  68 | លង              | 0.008498
  69 | គល              | 0.008345
  70 | ផងដ             | 0.008165
  71 | ទន              | 0.008135
  72 | វក              | 0.008110
  73 | ផល              | 0.007974
  74 | ងឡ              | 0.007918
  75 | អគ              | 0.007768
  76 | លប              | 0.007728
  77 | សព              | 0.007678
  78 | មត              | 0.007615
  79 | តឡ              | 0.007533
  80 | រគ              | 0.007503
  81 | កណ              | 0.007402
  82 | តល              | 0.007398
  83 | មណ              | 0.007353
  84 | រឆ              | 0.007257
  85 | សហរដ            | 0.007240
  86 | អស              | 0.007060
  87 | នង              | 0.007057
  88 | យល              | 0.007036
  89 | នប              | 0.006996
  90 | ចន              | 0.006952
  91 | ងអស             | 0.006897
  92 | លរ              | 0.006889
  93 | ណត              | 0.006845
  94 | ជនជ             | 0.006838
  95 | ពន              | 0.006807
  96 | ជម              | 0.006795
  97 | រភ              | 0.006711
  98 | លទ              | 0.006616
  99 | តណ              | 0.006582
 100 | ងល              | 0.006579
