TOP 100 TERMS BY TF-IDF - No_Conjunctions
============================================================

Documents: 58409
Total terms: 1597449
Unique terms: 45486
Vocabulary size: 2480

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049328
   2 | របស             | 0.044968
   3 | បន              | 0.037719
   4 | កម              | 0.032283
   5 | រទ              | 0.032067
   6 | រដ              | 0.031397
   7 | រក              | 0.030242
   8 | រប              | 0.028647
   9 | រស              | 0.026838
  10 | បង              | 0.026320
  11 | វប              | 0.025917
  12 | រព              | 0.025840
  13 | រង              | 0.025740
  14 | យក              | 0.025455
  15 | សន              | 0.025271
  16 | បត              | 0.025100
  17 | រជ              | 0.024426
  18 | អង              | 0.024298
  19 | នក              | 0.023296
  20 | ដល              | 0.022394
  21 | មន              | 0.022370
  22 | បញ              | 0.021937
  23 | សង              | 0.021013
  24 | មក              | 0.019316
  25 | រម              | 0.019227
  26 | ចក              | 0.019070
  27 | ជន              | 0.017794
  28 | កន              | 0.017228
  29 | វត              | 0.017115
  30 | រធ              | 0.017036
  31 | មហ              | 0.016717
  32 | អន              | 0.016462
  33 | រត              | 0.015879
  34 | រវ              | 0.014859
  35 | រយ              | 0.014217
  36 | រហ              | 0.013986
  37 | ងក              | 0.013756
  38 | រណ              | 0.013617
  39 | បណ              | 0.013601
  40 | ពង              | 0.012939
  41 | សត              | 0.012573
  42 | តម              | 0.012420
  43 | បច              | 0.012269
  44 | លព              | 0.011924
  45 | ធម              | 0.011819
  46 | ចប              | 0.011515
  47 | ងត              | 0.011475
  48 | ពស              | 0.011417
  49 | រច              | 0.011347
  50 | គម              | 0.011144
  51 | ឋមន             | 0.011013
  52 | ខណ              | 0.010897
  53 | បរ              | 0.010728
  54 | កស              | 0.010540
  55 | ចជ              | 0.010377
  56 | ចម              | 0.010344
  57 | អត              | 0.010111
  58 | កគ              | 0.010028
  59 | យប              | 0.009728
  60 | សរ              | 0.009537
  61 | ងន              | 0.009523
  62 | កដ              | 0.009432
  63 | ទទ              | 0.009017
  64 | យន              | 0.008831
  65 | លក              | 0.008702
  66 | រល              | 0.008585
  67 | ករ              | 0.008517
  68 | លង              | 0.008471
  69 | គល              | 0.008362
  70 | ផងដ             | 0.008150
  71 | ទន              | 0.008150
  72 | វក              | 0.008095
  73 | ផល              | 0.007980
  74 | ងឡ              | 0.007935
  75 | ចន              | 0.007780
  76 | អគ              | 0.007772
  77 | លប              | 0.007705
  78 | សព              | 0.007692
  79 | មត              | 0.007601
  80 | ចង              | 0.007584
  81 | រគ              | 0.007502
  82 | តឡ              | 0.007489
  83 | កណ              | 0.007393
  84 | តល              | 0.007390
  85 | មណ              | 0.007349
  86 | រឆ              | 0.007249
  87 | សហរដ            | 0.007239
  88 | អស              | 0.007061
  89 | នង              | 0.007056
  90 | យល              | 0.007040
  91 | នប              | 0.006975
  92 | ងអស             | 0.006890
  93 | ណត              | 0.006831
  94 | ជនជ             | 0.006826
  95 | ពន              | 0.006814
  96 | ជម              | 0.006782
  97 | រភ              | 0.006720
  98 | តណ              | 0.006584
  99 | ងល              | 0.006573
 100 | យម              | 0.006531
