TOP 100 TERMS BY TF-IDF - No_Determiners
============================================================

Documents: 58409
Total terms: 1658928
Unique terms: 45509
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049227
   2 | របស             | 0.044876
   3 | បន              | 0.037171
   4 | កម              | 0.032223
   5 | រទ              | 0.031994
   6 | រដ              | 0.031328
   7 | រក              | 0.030179
   8 | រស              | 0.026803
   9 | បង              | 0.026311
  10 | វប              | 0.025844
  11 | រប              | 0.025831
  12 | រព              | 0.025821
  13 | រង              | 0.025699
  14 | យក              | 0.025408
  15 | សន              | 0.025249
  16 | បត              | 0.025072
  17 | រជ              | 0.024373
  18 | អង              | 0.024236
  19 | នក              | 0.023303
  20 | បញ              | 0.022536
  21 | ដល              | 0.022352
  22 | មន              | 0.022312
  23 | សង              | 0.020976
  24 | មក              | 0.019286
  25 | រម              | 0.019194
  26 | ចក              | 0.019041
  27 | រហ              | 0.018528
  28 | ជន              | 0.017774
  29 | កន              | 0.017208
  30 | វត              | 0.017114
  31 | រធ              | 0.017007
  32 | មហ              | 0.016691
  33 | អន              | 0.016427
  34 | រត              | 0.015871
  35 | រវ              | 0.014847
  36 | រយ              | 0.014191
  37 | តម              | 0.013933
  38 | ងក              | 0.013719
  39 | រណ              | 0.013591
  40 | បណ              | 0.013586
  41 | ពង              | 0.012924
  42 | សត              | 0.012839
  43 | ទទ              | 0.012762
  44 | បច              | 0.012239
  45 | លព              | 0.011893
  46 | ធម              | 0.011795
  47 | ចប              | 0.011475
  48 | ងត              | 0.011466
  49 | ពស              | 0.011389
  50 | រច              | 0.011328
  51 | គម              | 0.011130
  52 | ឋមន             | 0.010989
  53 | ខណ              | 0.010894
  54 | បរ              | 0.010713
  55 | កស              | 0.010531
  56 | ចជ              | 0.010413
  57 | ចម              | 0.010321
  58 | អត              | 0.010096
  59 | កគ              | 0.010023
  60 | យប              | 0.009737
  61 | សរ              | 0.009515
  62 | ងន              | 0.009498
  63 | កដ              | 0.009424
  64 | យន              | 0.008810
  65 | លក              | 0.008699
  66 | យស              | 0.008605
  67 | រល              | 0.008576
  68 | ករ              | 0.008505
  69 | លង              | 0.008485
  70 | គល              | 0.008362
  71 | ផងដ             | 0.008146
  72 | ទន              | 0.008124
  73 | វក              | 0.008092
  74 | ផល              | 0.007966
  75 | ងឡ              | 0.007927
  76 | អគ              | 0.007763
  77 | ចន              | 0.007760
  78 | លប              | 0.007745
  79 | ចង              | 0.007577
  80 | រគ              | 0.007489
  81 | តឡ              | 0.007470
  82 | តល              | 0.007382
  83 | កណ              | 0.007374
  84 | មណ              | 0.007354
  85 | រឆ              | 0.007246
  86 | សហរដ            | 0.007218
  87 | អស              | 0.007060
  88 | នង              | 0.007049
  89 | យល              | 0.007028
  90 | នប              | 0.006967
  91 | លរ              | 0.006895
  92 | ជនជ             | 0.006834
  93 | ណត              | 0.006820
  94 | ពន              | 0.006795
  95 | ជម              | 0.006768
  96 | រភ              | 0.006712
  97 | លទ              | 0.006611
  98 | តណ              | 0.006576
  99 | ងល              | 0.006566
 100 | យម              | 0.006524
