TOP 100 TERMS BY TF-IDF - No_Function_Nouns
============================================================

Documents: 58409
Total terms: 1655447
Unique terms: 45486
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | របស             | 0.044962
   2 | សម              | 0.043753
   3 | បន              | 0.037578
   4 | រទ              | 0.032043
   5 | រដ              | 0.031387
   6 | កម              | 0.030957
   7 | រក              | 0.029268
   8 | រប              | 0.028679
   9 | រស              | 0.026856
  10 | បង              | 0.026360
  11 | វប              | 0.025908
  12 | រព              | 0.025878
  13 | រង              | 0.025713
  14 | យក              | 0.025474
  15 | សន              | 0.024953
  16 | បត              | 0.024660
  17 | រជ              | 0.024409
  18 | អង              | 0.024248
  19 | នក              | 0.023342
  20 | បញ              | 0.022560
  21 | ដល              | 0.022386
  22 | មន              | 0.022318
  23 | សង              | 0.021001
  24 | មក              | 0.019296
  25 | រម              | 0.019237
  26 | ចក              | 0.019057
  27 | រហ              | 0.018556
  28 | ជន              | 0.017789
  29 | កន              | 0.017231
  30 | វត              | 0.017131
  31 | រធ              | 0.017074
  32 | មហ              | 0.016729
  33 | អន              | 0.016463
  34 | រត              | 0.015013
  35 | រវ              | 0.014885
  36 | រយ              | 0.014232
  37 | តម              | 0.013964
  38 | ងក              | 0.013746
  39 | រណ              | 0.013625
  40 | បណ              | 0.013607
  41 | ពង              | 0.012937
  42 | សត              | 0.012830
  43 | ទទ              | 0.012766
  44 | លព              | 0.011925
  45 | ធម              | 0.011814
  46 | បច              | 0.011545
  47 | ងត              | 0.011461
  48 | ពស              | 0.011427
  49 | រច              | 0.011357
  50 | ចប              | 0.011258
  51 | គម              | 0.011123
  52 | ឋមន             | 0.011012
  53 | ខណ              | 0.010909
  54 | បរ              | 0.010728
  55 | កស              | 0.010567
  56 | ចម              | 0.010346
  57 | អត              | 0.010113
  58 | កគ              | 0.010032
  59 | យប              | 0.009752
  60 | សរ              | 0.009540
  61 | ងន              | 0.009519
  62 | យន              | 0.008832
  63 | កដ              | 0.008723
  64 | លក              | 0.008707
  65 | យស              | 0.008621
  66 | រល              | 0.008593
  67 | ករ              | 0.008515
  68 | លង              | 0.008480
  69 | គល              | 0.008360
  70 | ផងដ             | 0.008178
  71 | ទន              | 0.008123
  72 | វក              | 0.008117
  73 | ផល              | 0.008000
  74 | ងឡ              | 0.007929
  75 | ចន              | 0.007784
  76 | អគ              | 0.007773
  77 | លប              | 0.007746
  78 | សព              | 0.007671
  79 | មត              | 0.007606
  80 | ចង              | 0.007578
  81 | រគ              | 0.007517
  82 | តឡ              | 0.007484
  83 | តល              | 0.007429
  84 | កណ              | 0.007375
  85 | មណ              | 0.007359
  86 | រឆ              | 0.007258
  87 | សហរដ            | 0.007242
  88 | នង              | 0.007069
  89 | អស              | 0.007053
  90 | យល              | 0.007039
  91 | នប              | 0.006978
  92 | លរ              | 0.006908
  93 | ងអស             | 0.006895
  94 | ណត              | 0.006833
  95 | ជនជ             | 0.006826
  96 | ពន              | 0.006813
  97 | ជម              | 0.006788
  98 | រភ              | 0.006736
  99 | លទ              | 0.006627
 100 | តណ              | 0.006577
