TOP 100 TERMS BY TF-IDF - No_Numbers
============================================================

Documents: 58409
Total terms: 1685022
Unique terms: 45513
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049171
   2 | របស             | 0.044894
   3 | បន              | 0.037647
   4 | កម              | 0.032193
   5 | រទ              | 0.032039
   6 | រដ              | 0.031346
   7 | រក              | 0.030162
   8 | រប              | 0.028606
   9 | រស              | 0.026769
  10 | បង              | 0.026280
  11 | វប              | 0.025895
  12 | រព              | 0.025791
  13 | រង              | 0.025663
  14 | យក              | 0.025454
  15 | សន              | 0.025221
  16 | បត              | 0.025095
  17 | រជ              | 0.024353
  18 | អង              | 0.024246
  19 | នក              | 0.023247
  20 | បញ              | 0.022527
  21 | មន              | 0.022334
  22 | ដល              | 0.022325
  23 | សង              | 0.020971
  24 | មក              | 0.019289
  25 | រម              | 0.019185
  26 | ចក              | 0.019027
  27 | រហ              | 0.018050
  28 | ជន              | 0.017744
  29 | កន              | 0.017207
  30 | វត              | 0.017065
  31 | រធ              | 0.017046
  32 | មហ              | 0.016668
  33 | អន              | 0.016419
  34 | រត              | 0.015856
  35 | រវ              | 0.014877
  36 | រយ              | 0.014213
  37 | តម              | 0.013919
  38 | ងក              | 0.013702
  39 | រណ              | 0.013608
  40 | បណ              | 0.013576
  41 | ពង              | 0.012917
  42 | សត              | 0.012801
  43 | ទទ              | 0.012742
  44 | បច              | 0.012233
  45 | ធម              | 0.011788
  46 | ចប              | 0.011484
  47 | ងត              | 0.011467
  48 | ពស              | 0.011380
  49 | រច              | 0.011330
  50 | គម              | 0.011111
  51 | ឋមន             | 0.010999
  52 | ខណ              | 0.010888
  53 | បរ              | 0.010682
  54 | កស              | 0.010530
  55 | ចជ              | 0.010352
  56 | ចម              | 0.010301
  57 | អត              | 0.010096
  58 | កគ              | 0.010013
  59 | យប              | 0.009756
  60 | សរ              | 0.009515
  61 | ងន              | 0.009495
  62 | កដ              | 0.009421
  63 | យន              | 0.008804
  64 | លក              | 0.008682
  65 | យស              | 0.008601
  66 | រល              | 0.008561
  67 | លង              | 0.008503
  68 | ករ              | 0.008487
  69 | គល              | 0.008341
  70 | ផងដ             | 0.008118
  71 | ទន              | 0.008116
  72 | វក              | 0.008078
  73 | ផល              | 0.007952
  74 | ងឡ              | 0.007909
  75 | ចន              | 0.007793
  76 | អគ              | 0.007765
  77 | លប              | 0.007722
  78 | សព              | 0.007664
  79 | មត              | 0.007571
  80 | ចង              | 0.007552
  81 | រគ              | 0.007492
  82 | តឡ              | 0.007486
  83 | កណ              | 0.007376
  84 | តល              | 0.007374
  85 | មណ              | 0.007337
  86 | រឆ              | 0.007261
  87 | សហរដ            | 0.007258
  88 | នង              | 0.007047
  89 | អស              | 0.007046
  90 | យល              | 0.007028
  91 | នប              | 0.006957
  92 | លរ              | 0.006887
  93 | ងអស             | 0.006873
  94 | ជនជ             | 0.006822
  95 | ណត              | 0.006819
  96 | ពន              | 0.006792
  97 | ជម              | 0.006778
  98 | រភ              | 0.006692
  99 | លទ              | 0.006599
 100 | តណ              | 0.006570
