TOP 100 TERMS BY TF-IDF - No_Particles
============================================================

Documents: 58409
Total terms: 1660710
Unique terms: 45496
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049148
   2 | របស             | 0.044805
   3 | បន              | 0.037561
   4 | កម              | 0.032186
   5 | រទ              | 0.031938
   6 | រដ              | 0.031291
   7 | រក              | 0.030127
   8 | រប              | 0.028571
   9 | រស              | 0.026759
  10 | បង              | 0.026246
  11 | វប              | 0.025800
  12 | រព              | 0.025762
  13 | រង              | 0.025652
  14 | យក              | 0.025381
  15 | សន              | 0.025191
  16 | បត              | 0.025051
  17 | រជ              | 0.024325
  18 | អង              | 0.024202
  19 | នក              | 0.023236
  20 | បញ              | 0.022486
  21 | ដល              | 0.022298
  22 | មន              | 0.022266
  23 | សង              | 0.020943
  24 | មក              | 0.019234
  25 | រម              | 0.019168
  26 | ចក              | 0.019032
  27 | រហ              | 0.018495
  28 | ជន              | 0.017734
  29 | កន              | 0.017175
  30 | វត              | 0.017078
  31 | រធ              | 0.016993
  32 | មហ              | 0.016653
  33 | អន              | 0.016409
  34 | រត              | 0.015843
  35 | រវ              | 0.014836
  36 | រយ              | 0.014169
  37 | តម              | 0.013915
  38 | ងក              | 0.013692
  39 | រណ              | 0.013575
  40 | បណ              | 0.013562
  41 | ពង              | 0.012903
  42 | សត              | 0.012811
  43 | ទទ              | 0.012731
  44 | បច              | 0.012221
  45 | លព              | 0.011886
  46 | ធម              | 0.011822
  47 | ចប              | 0.011465
  48 | ងត              | 0.011441
  49 | ពស              | 0.011373
  50 | រច              | 0.011313
  51 | គម              | 0.011103
  52 | ឋមន             | 0.010976
  53 | ខណ              | 0.010869
  54 | បរ              | 0.010685
  55 | កស              | 0.010519
  56 | ចម              | 0.010300
  57 | ចជ              | 0.010250
  58 | អត              | 0.010080
  59 | កគ              | 0.009988
  60 | យប              | 0.009721
  61 | សរ              | 0.009496
  62 | ងន              | 0.009487
  63 | កដ              | 0.009410
  64 | យន              | 0.008793
  65 | លក              | 0.008678
  66 | យស              | 0.008590
  67 | រល              | 0.008559
  68 | ករ              | 0.008489
  69 | លង              | 0.008474
  70 | គល              | 0.008358
  71 | ផងដ             | 0.008123
  72 | ទន              | 0.008112
  73 | វក              | 0.008071
  74 | ផល              | 0.007947
  75 | ងឡ              | 0.007925
  76 | អគ              | 0.007753
  77 | ចន              | 0.007747
  78 | លប              | 0.007719
  79 | សព              | 0.007658
  80 | មត              | 0.007567
  81 | ចង              | 0.007547
  82 | រគ              | 0.007487
  83 | តឡ              | 0.007467
  84 | តល              | 0.007370
  85 | កណ              | 0.007361
  86 | មណ              | 0.007341
  87 | រឆ              | 0.007239
  88 | សហរដ            | 0.007217
  89 | នង              | 0.007040
  90 | អស              | 0.007039
  91 | យល              | 0.007016
  92 | នប              | 0.006954
  93 | លរ              | 0.006881
  94 | ងអស             | 0.006868
  95 | ជនជ             | 0.006808
  96 | ណត              | 0.006808
  97 | ពន              | 0.006784
  98 | ជម              | 0.006761
  99 | រភ              | 0.006702
 100 | លទ              | 0.006597
