TOP 100 TERMS BY TF-IDF - No_Politeness
============================================================

Documents: 58409
Total terms: 1691024
Unique terms: 45520
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049083
   2 | របស             | 0.044762
   3 | បន              | 0.037524
   4 | កម              | 0.032139
   5 | រទ              | 0.031910
   6 | រដ              | 0.031259
   7 | រក              | 0.030103
   8 | រប              | 0.028526
   9 | រស              | 0.026721
  10 | បង              | 0.026226
  11 | វប              | 0.025778
  12 | រព              | 0.025734
  13 | រង              | 0.025629
  14 | យក              | 0.025356
  15 | សន              | 0.025165
  16 | បត              | 0.025009
  17 | រជ              | 0.024297
  18 | អង              | 0.024182
  19 | នក              | 0.023213
  20 | បញ              | 0.022456
  21 | ដល              | 0.022277
  22 | មន              | 0.022231
  23 | សង              | 0.020923
  24 | មក              | 0.019217
  25 | រម              | 0.019142
  26 | ចក              | 0.019008
  27 | រហ              | 0.018482
  28 | ជន              | 0.017712
  29 | កន              | 0.017153
  30 | វត              | 0.017049
  31 | រធ              | 0.016972
  32 | មហ              | 0.016640
  33 | អន              | 0.016393
  34 | រត              | 0.015823
  35 | រវ              | 0.014820
  36 | រយ              | 0.014151
  37 | តម              | 0.013896
  38 | ងក              | 0.013678
  39 | រណ              | 0.013559
  40 | បណ              | 0.013551
  41 | ពង              | 0.012897
  42 | សត              | 0.012790
  43 | ទទ              | 0.012721
  44 | បច              | 0.012213
  45 | លព              | 0.011877
  46 | ធម              | 0.011780
  47 | ចប              | 0.011454
  48 | ងត              | 0.011430
  49 | ពស              | 0.011355
  50 | រច              | 0.011300
  51 | គម              | 0.011095
  52 | ឋមន             | 0.010968
  53 | ខណ              | 0.010860
  54 | បរ              | 0.010672
  55 | កស              | 0.010504
  56 | ចជ              | 0.010342
  57 | ចម              | 0.010288
  58 | អត              | 0.010072
  59 | កគ              | 0.009979
  60 | យប              | 0.009710
  61 | សរ              | 0.009489
  62 | ងន              | 0.009475
  63 | កដ              | 0.009397
  64 | យន              | 0.008787
  65 | លក              | 0.008668
  66 | យស              | 0.008582
  67 | រល              | 0.008552
  68 | ករ              | 0.008478
  69 | លង              | 0.008462
  70 | គល              | 0.008338
  71 | ផងដ             | 0.008105
  72 | ទន              | 0.008102
  73 | វក              | 0.008066
  74 | ផល              | 0.007937
  75 | ងឡ              | 0.007910
  76 | អគ              | 0.007748
  77 | ចន              | 0.007744
  78 | លប              | 0.007709
  79 | សព              | 0.007652
  80 | មត              | 0.007564
  81 | ចង              | 0.007545
  82 | រគ              | 0.007478
  83 | តឡ              | 0.007460
  84 | តល              | 0.007360
  85 | កណ              | 0.007357
  86 | មណ              | 0.007332
  87 | រឆ              | 0.007232
  88 | សហរដ            | 0.007208
  89 | អស              | 0.007035
  90 | នង              | 0.007033
  91 | យល              | 0.007008
  92 | នប              | 0.006947
  93 | លរ              | 0.006872
  94 | ងអស             | 0.006860
  95 | ជនជ             | 0.006803
  96 | ណត              | 0.006800
  97 | ពន              | 0.006780
  98 | ជម              | 0.006753
  99 | រភ              | 0.006682
 100 | លទ              | 0.006592
