TOP 100 TERMS BY TF-IDF - No_Prepositions
============================================================

Documents: 58409
Total terms: 1588604
Unique terms: 45495
Vocabulary size: 2480

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049564
   2 | បន              | 0.034473
   3 | កម              | 0.032436
   4 | រទ              | 0.032236
   5 | រដ              | 0.031573
   6 | រក              | 0.030415
   7 | រប              | 0.028828
   8 | រស              | 0.026979
   9 | បង              | 0.026512
  10 | វប              | 0.026041
  11 | រព              | 0.025974
  12 | រង              | 0.025871
  13 | យក              | 0.025606
  14 | សន              | 0.025383
  15 | បត              | 0.025230
  16 | រជ              | 0.024531
  17 | អង              | 0.024398
  18 | នក              | 0.023518
  19 | បញ              | 0.022662
  20 | មន              | 0.022430
  21 | សង              | 0.021126
  22 | មក              | 0.019389
  23 | រម              | 0.019304
  24 | ចក              | 0.019199
  25 | រហ              | 0.018640
  26 | ជន              | 0.017887
  27 | កន              | 0.017293
  28 | វត              | 0.017185
  29 | រធ              | 0.017126
  30 | មហ              | 0.016792
  31 | អន              | 0.016512
  32 | រត              | 0.015962
  33 | រវ              | 0.014949
  34 | រយ              | 0.014305
  35 | តម              | 0.014005
  36 | ងក              | 0.013820
  37 | រណ              | 0.013685
  38 | បណ              | 0.013664
  39 | ពង              | 0.012965
  40 | សត              | 0.012897
  41 | ទទ              | 0.012836
  42 | បច              | 0.012301
  43 | លព              | 0.012007
  44 | ធម              | 0.011884
  45 | ចប              | 0.011538
  46 | ងត              | 0.011518
  47 | ពស              | 0.011470
  48 | រច              | 0.011427
  49 | គម              | 0.011203
  50 | ឋមន             | 0.011052
  51 | ខណ              | 0.010957
  52 | បរ              | 0.010766
  53 | កស              | 0.010609
  54 | ចជ              | 0.010435
  55 | ចម              | 0.010366
  56 | អត              | 0.010158
  57 | កគ              | 0.010136
  58 | យប              | 0.009794
  59 | សរ              | 0.009571
  60 | ងន              | 0.009566
  61 | កដ              | 0.009484
  62 | លក              | 0.008752
  63 | យស              | 0.008654
  64 | រល              | 0.008639
  65 | ករ              | 0.008539
  66 | លង              | 0.008536
  67 | គល              | 0.008430
  68 | ផងដ             | 0.008183
  69 | ទន              | 0.008156
  70 | វក              | 0.008152
  71 | ងឡ              | 0.008006
  72 | ផល              | 0.008000
  73 | ចន              | 0.007820
  74 | អគ              | 0.007798
  75 | លប              | 0.007770
  76 | សព              | 0.007704
  77 | មត              | 0.007623
  78 | ចង              | 0.007598
  79 | រគ              | 0.007580
  80 | តឡ              | 0.007536
  81 | តល              | 0.007461
  82 | កណ              | 0.007420
  83 | មណ              | 0.007392
  84 | សហរដ            | 0.007307
  85 | រឆ              | 0.007301
  86 | នង              | 0.007110
  87 | អស              | 0.007090
  88 | យល              | 0.007085
  89 | នប              | 0.007024
  90 | លរ              | 0.006931
  91 | ងអស             | 0.006928
  92 | ជនជ             | 0.006865
  93 | ណត              | 0.006861
  94 | ពន              | 0.006834
  95 | ជម              | 0.006815
  96 | រភ              | 0.006748
  97 | លទ              | 0.006651
  98 | តណ              | 0.006613
  99 | ងល              | 0.006601
 100 | យម              | 0.006562
