TOP 100 TERMS BY TF-IDF - No_Pronouns
============================================================

Documents: 58409
Total terms: 1678950
Unique terms: 45512
Vocabulary size: 2480

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049319
   2 | របស             | 0.045045
   3 | បន              | 0.037627
   4 | កម              | 0.032211
   5 | រទ              | 0.031974
   6 | រដ              | 0.031299
   7 | រក              | 0.030265
   8 | រប              | 0.028647
   9 | រស              | 0.026930
  10 | បង              | 0.026388
  11 | រព              | 0.025837
  12 | វប              | 0.025822
  13 | រង              | 0.025779
  14 | យក              | 0.025436
  15 | សន              | 0.025238
  16 | បត              | 0.025105
  17 | រជ              | 0.024353
  18 | អង              | 0.024272
  19 | បញ              | 0.022571
  20 | ដល              | 0.022395
  21 | មន              | 0.022340
  22 | សង              | 0.021017
  23 | មក              | 0.019338
  24 | រម              | 0.019250
  25 | ចក              | 0.019087
  26 | រហ              | 0.018560
  27 | ជន              | 0.017785
  28 | កន              | 0.017208
  29 | វត              | 0.017125
  30 | រធ              | 0.017001
  31 | មហ              | 0.016669
  32 | អន              | 0.016435
  33 | រត              | 0.015903
  34 | រវ              | 0.014841
  35 | រយ              | 0.014213
  36 | តម              | 0.013923
  37 | ងក              | 0.013753
  38 | រណ              | 0.013598
  39 | បណ              | 0.013580
  40 | ពង              | 0.012925
  41 | សត              | 0.012876
  42 | ទទ              | 0.012785
  43 | បច              | 0.012247
  44 | លព              | 0.011901
  45 | ធម              | 0.011845
  46 | ចប              | 0.011467
  47 | ងត              | 0.011455
  48 | ពស              | 0.011382
  49 | រច              | 0.011339
  50 | គម              | 0.011118
  51 | ឋមន             | 0.010977
  52 | ខណ              | 0.010884
  53 | បរ              | 0.010715
  54 | កស              | 0.010529
  55 | ចជ              | 0.010398
  56 | ចម              | 0.010352
  57 | អត              | 0.010114
  58 | កគ              | 0.010028
  59 | យប              | 0.009749
  60 | សរ              | 0.009530
  61 | ងន              | 0.009521
  62 | កដ              | 0.009450
  63 | យន              | 0.008824
  64 | លក              | 0.008720
  65 | យស              | 0.008616
  66 | រល              | 0.008586
  67 | ករ              | 0.008510
  68 | លង              | 0.008500
  69 | គល              | 0.008405
  70 | ផងដ             | 0.008132
  71 | ទន              | 0.008114
  72 | វក              | 0.008109
  73 | ងឡ              | 0.007999
  74 | ផល              | 0.007974
  75 | ចន              | 0.007790
  76 | អគ              | 0.007761
  77 | លប              | 0.007758
  78 | សព              | 0.007668
  79 | ចង              | 0.007642
  80 | មត              | 0.007604
  81 | រគ              | 0.007495
  82 | តឡ              | 0.007488
  83 | មណ              | 0.007418
  84 | តល              | 0.007390
  85 | កណ              | 0.007369
  86 | រឆ              | 0.007244
  87 | សហរដ            | 0.007208
  88 | អស              | 0.007067
  89 | នប              | 0.007061
  90 | នង              | 0.007060
  91 | យល              | 0.007059
  92 | ងអស             | 0.006901
  93 | លរ              | 0.006879
  94 | ជនជ             | 0.006825
  95 | ណត              | 0.006824
  96 | ពន              | 0.006803
  97 | ជម              | 0.006771
  98 | រភ              | 0.006708
  99 | នក              | 0.006704
 100 | លទ              | 0.006621
