TOP 100 TERMS BY TF-IDF - No_Questions
============================================================

Documents: 58409
Total terms: 1688185
Unique terms: 45518
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049114
   2 | របស             | 0.044803
   3 | បន              | 0.037565
   4 | កម              | 0.032158
   5 | រទ              | 0.031929
   6 | រដ              | 0.031276
   7 | រក              | 0.030125
   8 | រប              | 0.028551
   9 | រស              | 0.026741
  10 | បង              | 0.026244
  11 | វប              | 0.025815
  12 | រព              | 0.025758
  13 | រង              | 0.025646
  14 | យក              | 0.025373
  15 | សន              | 0.025183
  16 | បត              | 0.025023
  17 | រជ              | 0.024313
  18 | អង              | 0.024189
  19 | នក              | 0.023245
  20 | បញ              | 0.022473
  21 | ដល              | 0.022287
  22 | មន              | 0.022250
  23 | សង              | 0.020932
  24 | មក              | 0.019237
  25 | រម              | 0.019156
  26 | ចក              | 0.019012
  27 | រហ              | 0.018499
  28 | ជន              | 0.017718
  29 | កន              | 0.017155
  30 | វត              | 0.017060
  31 | រធ              | 0.016992
  32 | មហ              | 0.016647
  33 | អន              | 0.016397
  34 | រត              | 0.015847
  35 | រវ              | 0.014832
  36 | រយ              | 0.014160
  37 | តម              | 0.013908
  38 | ងក              | 0.013689
  39 | រណ              | 0.013575
  40 | បណ              | 0.013557
  41 | ពង              | 0.012905
  42 | សត              | 0.012790
  43 | ទទ              | 0.012732
  44 | បច              | 0.012227
  45 | លព              | 0.011888
  46 | ធម              | 0.011786
  47 | ចប              | 0.011463
  48 | ងត              | 0.011437
  49 | ពស              | 0.011364
  50 | រច              | 0.011305
  51 | គម              | 0.011099
  52 | ឋមន             | 0.010972
  53 | ខណ              | 0.010867
  54 | បរ              | 0.010681
  55 | កស              | 0.010513
  56 | ចជ              | 0.010352
  57 | ចម              | 0.010292
  58 | កគ              | 0.009995
  59 | យប              | 0.009724
  60 | សរ              | 0.009492
  61 | ងន              | 0.009481
  62 | កដ              | 0.009408
  63 | អត              | 0.009375
  64 | យន              | 0.008793
  65 | លក              | 0.008674
  66 | យស              | 0.008593
  67 | រល              | 0.008566
  68 | ករ              | 0.008479
  69 | លង              | 0.008466
  70 | គល              | 0.008345
  71 | ផងដ             | 0.008110
  72 | ទន              | 0.008109
  73 | វក              | 0.008074
  74 | ផល              | 0.007941
  75 | ងឡ              | 0.007910
  76 | អគ              | 0.007753
  77 | ចន              | 0.007748
  78 | លប              | 0.007713
  79 | សព              | 0.007656
  80 | មត              | 0.007573
  81 | ចង              | 0.007562
  82 | រគ              | 0.007484
  83 | តឡ              | 0.007469
  84 | តល              | 0.007369
  85 | កណ              | 0.007360
  86 | មណ              | 0.007345
  87 | រឆ              | 0.007235
  88 | សហរដ            | 0.007211
  89 | អស              | 0.007040
  90 | នង              | 0.007038
  91 | យល              | 0.007019
  92 | នប              | 0.006955
  93 | លរ              | 0.006875
  94 | ងអស             | 0.006873
  95 | ជនជ             | 0.006813
  96 | ណត              | 0.006809
  97 | ពន              | 0.006787
  98 | ជម              | 0.006759
  99 | រភ              | 0.006686
 100 | លទ              | 0.006601
