TOP 100 TERMS BY TF-IDF - Original
============================================================

Documents: 58409
Total terms: 1703731
Unique terms: 45524
Vocabulary size: 2481

Rank | Term | Avg TF-IDF Score
----------------------------------------
   1 | សម              | 0.049080
   2 | របស             | 0.044758
   3 | បន              | 0.037521
   4 | កម              | 0.032137
   5 | រទ              | 0.031908
   6 | រដ              | 0.031256
   7 | រក              | 0.030100
   8 | រប              | 0.028524
   9 | រស              | 0.026720
  10 | បង              | 0.026224
  11 | វប              | 0.025778
  12 | រព              | 0.025733
  13 | រង              | 0.025628
  14 | យក              | 0.025354
  15 | សន              | 0.025163
  16 | បត              | 0.025007
  17 | រជ              | 0.024296
  18 | អង              | 0.024182
  19 | នក              | 0.023212
  20 | បញ              | 0.022454
  21 | ដល              | 0.022272
  22 | មន              | 0.022230
  23 | សង              | 0.020922
  24 | មក              | 0.019216
  25 | រម              | 0.019141
  26 | ចក              | 0.019000
  27 | រហ              | 0.018481
  28 | ជន              | 0.017711
  29 | កន              | 0.017151
  30 | វត              | 0.017046
  31 | រធ              | 0.016970
  32 | មហ              | 0.016640
  33 | អន              | 0.016392
  34 | រត              | 0.015822
  35 | រវ              | 0.014820
  36 | រយ              | 0.014151
  37 | តម              | 0.013896
  38 | ងក              | 0.013678
  39 | រណ              | 0.013558
  40 | បណ              | 0.013550
  41 | ពង              | 0.012897
  42 | សត              | 0.012784
  43 | ទទ              | 0.012719
  44 | បច              | 0.012213
  45 | លព              | 0.011876
  46 | ធម              | 0.011779
  47 | ចប              | 0.011453
  48 | ងត              | 0.011430
  49 | ពស              | 0.011354
  50 | រច              | 0.011299
  51 | គម              | 0.011094
  52 | ឋមន             | 0.010967
  53 | ខណ              | 0.010860
  54 | បរ              | 0.010672
  55 | កស              | 0.010503
  56 | ចជ              | 0.010342
  57 | ចម              | 0.010288
  58 | អត              | 0.010072
  59 | កគ              | 0.009978
  60 | យប              | 0.009709
  61 | សរ              | 0.009489
  62 | ងន              | 0.009474
  63 | កដ              | 0.009397
  64 | យន              | 0.008787
  65 | លក              | 0.008668
  66 | យស              | 0.008582
  67 | រល              | 0.008551
  68 | ករ              | 0.008475
  69 | លង              | 0.008461
  70 | គល              | 0.008335
  71 | ផងដ             | 0.008103
  72 | ទន              | 0.008102
  73 | វក              | 0.008066
  74 | ផល              | 0.007937
  75 | ងឡ              | 0.007907
  76 | អគ              | 0.007748
  77 | ចន              | 0.007743
  78 | លប              | 0.007709
  79 | សព              | 0.007651
  80 | មត              | 0.007564
  81 | ចង              | 0.007543
  82 | រគ              | 0.007478
  83 | តឡ              | 0.007460
  84 | តល              | 0.007360
  85 | កណ              | 0.007357
  86 | មណ              | 0.007332
  87 | រឆ              | 0.007231
  88 | សហរដ            | 0.007208
  89 | នង              | 0.007033
  90 | អស              | 0.007032
  91 | យល              | 0.007008
  92 | នប              | 0.006947
  93 | លរ              | 0.006871
  94 | ងអស             | 0.006857
  95 | ជនជ             | 0.006803
  96 | ណត              | 0.006800
  97 | ពន              | 0.006779
  98 | ជម              | 0.006752
  99 | រភ              | 0.006682
 100 | លទ              | 0.006591
