,Original,No_All_Stopwords,No_Auxiliary_Verbs,No_Conjunctions,No_Determiners,No_Function_Nouns,No_Numbers,No_Particles,No_Politeness,No_Prepositions,No_Pronouns,No_Questions
Original,1.0,0.9286403085824494,0.9892580067634772,0.9857029388403494,0.9896538002387585,0.9857029388403494,0.9912385503783353,0.9896538002387585,0.9904458598726115,0.9880715705765407,0.9896538002387585,0.9900497512437811
No_All_Stopwords,0.9286403085824494,1.0,0.9342359767891683,0.9421246844047387,0.9342359767891683,0.9421246844047387,0.9327406262079629,0.9372336303758233,0.9305019305019305,0.9391118867558658,0.9327406262079629,0.9308746862328635
No_Auxiliary_Verbs,0.9892580067634772,0.9342359767891683,1.0,0.9857029388403494,0.9880715705765407,0.9857029388403494,0.9888623707239459,0.9884668920262477,0.9888623707239459,0.9880715705765407,0.9892580067634772,0.9896538002387585
No_Conjunctions,0.9857029388403494,0.9421246844047387,0.9857029388403494,1.0,0.9857029388403494,0.9833399444664815,0.9857029388403494,0.9857029388403494,0.9857029388403494,0.9857029388403494,0.9857029388403494,0.9857029388403494
No_Determiners,0.9896538002387585,0.9342359767891683,0.9880715705765407,0.9857029388403494,1.0,0.9857029388403494,0.9900497512437811,0.9888623707239459,0.9904458598726115,0.9888623707239459,0.9900497512437811,0.9896538002387585
No_Function_Nouns,0.9857029388403494,0.9421246844047387,0.9857029388403494,0.9833399444664815,0.9857029388403494,1.0,0.9857029388403494,0.9857029388403494,0.9860973187686196,0.9857029388403494,0.9857029388403494,0.9857029388403494
No_Numbers,0.9912385503783353,0.9327406262079629,0.9888623707239459,0.9857029388403494,0.9900497512437811,0.9857029388403494,1.0,0.9896538002387585,0.9900497512437811,0.9884668920262477,0.9892580067634772,0.9888623707239459
No_Particles,0.9896538002387585,0.9372336303758233,0.9884668920262477,0.9857029388403494,0.9888623707239459,0.9857029388403494,0.9896538002387585,1.0,0.9892580067634772,0.9880715705765407,0.9880715705765407,0.9884668920262477
No_Politeness,0.9904458598726115,0.9305019305019305,0.9888623707239459,0.9857029388403494,0.9904458598726115,0.9860973187686196,0.9900497512437811,0.9892580067634772,1.0,0.9884668920262477,0.9900497512437811,0.9908421262193908
No_Prepositions,0.9880715705765407,0.9391118867558658,0.9880715705765407,0.9857029388403494,0.9888623707239459,0.9857029388403494,0.9884668920262477,0.9880715705765407,0.9884668920262477,1.0,0.9884668920262477,0.9880715705765407
No_Pronouns,0.9896538002387585,0.9327406262079629,0.9892580067634772,0.9857029388403494,0.9900497512437811,0.9857029388403494,0.9892580067634772,0.9880715705765407,0.9900497512437811,0.9884668920262477,1.0,0.9884668920262477
No_Questions,0.9900497512437811,0.9308746862328635,0.9896538002387585,0.9857029388403494,0.9896538002387585,0.9857029388403494,0.9888623707239459,0.9884668920262477,0.9908421262193908,0.9880715705765407,0.9884668920262477,1.0
